z,logSFR,source
6.0,-1.3016304347826086,smooth-sn (blue)
6.016511867905057,-1.3016304347826086,smooth-sn (blue)
6.033023735810113,-1.3016304347826086,smooth-sn (blue)
6.04953560371517,-1.309782608695652,smooth-sn (blue)
6.066047471620227,-1.3179347826086958,smooth-sn (blue)
6.082559339525284,-1.3179347826086958,smooth-sn (blue)
6.099071207430341,-1.3260869565217392,smooth-sn (blue)
6.1155830753353975,-1.3260869565217392,smooth-sn (blue)
6.132094943240454,-1.2853260869565217,smooth-sn (blue)
6.148606811145511,-1.2690217391304348,smooth-sn (blue)
6.165118679050567,-1.2608695652173914,smooth-sn (blue)
6.181630546955624,-1.252717391304348,smooth-sn (blue)
6.198142414860681,-1.252717391304348,smooth-sn (blue)
6.214654282765738,-1.2364130434782608,smooth-sn (blue)
6.231166150670795,-1.2364130434782608,smooth-sn (blue)
6.247678018575852,-1.2364130434782608,smooth-sn (blue)
6.264189886480908,-1.2364130434782608,smooth-sn (blue)
6.280701754385965,-1.2445652173913044,smooth-sn (blue)
6.2972136222910216,-1.2690217391304348,smooth-sn (blue)
6.313725490196078,-1.2690217391304348,smooth-sn (blue)
6.330237358101135,-1.2771739130434783,smooth-sn (blue)
6.346749226006192,-1.2853260869565217,smooth-sn (blue)
6.363261093911249,-1.375,smooth-sn (blue)
6.379772961816306,-1.391304347826087,smooth-sn (blue)
6.396284829721362,-1.3994565217391304,smooth-sn (blue)
6.412796697626419,-1.3994565217391304,smooth-sn (blue)
6.429308565531476,-1.4076086956521738,smooth-sn (blue)
6.445820433436532,-1.4239130434782608,smooth-sn (blue)
6.462332301341589,-1.440217391304348,smooth-sn (blue)
6.478844169246646,-1.4483695652173914,smooth-sn (blue)
6.495356037151703,-1.4565217391304348,smooth-sn (blue)
6.51186790505676,-1.4565217391304348,smooth-sn (blue)
6.5283797729618165,-1.4646739130434783,smooth-sn (blue)
6.544891640866873,-1.4646739130434783,smooth-sn (blue)
6.56140350877193,-1.4728260869565217,smooth-sn (blue)
6.5779153766769864,-1.4809782608695652,smooth-sn (blue)
6.594427244582043,-1.4809782608695652,smooth-sn (blue)
6.6109391124871,-1.4891304347826086,smooth-sn (blue)
6.627450980392156,-1.497282608695652,smooth-sn (blue)
6.643962848297214,-1.4891304347826086,smooth-sn (blue)
6.875128998968008,-1.4891304347826086,smooth-sn (blue)
6.891640866873065,-1.4891304347826086,smooth-sn (blue)
6.908152734778122,-1.4891304347826086,smooth-sn (blue)
6.924664602683179,-1.4809782608695652,smooth-sn (blue)
6.9411764705882355,-1.4728260869565217,smooth-sn (blue)
6.957688338493292,-1.4646739130434783,smooth-sn (blue)
6.974200206398349,-1.4646739130434783,smooth-sn (blue)
6.9907120743034055,-1.4565217391304348,smooth-sn (blue)
7.007223942208462,-1.4646739130434783,smooth-sn (blue)
7.023735810113519,-1.4646739130434783,smooth-sn (blue)
7.040247678018575,-1.4728260869565217,smooth-sn (blue)
7.056759545923633,-1.4809782608695652,smooth-sn (blue)
7.07327141382869,-1.497282608695652,smooth-sn (blue)
7.089783281733746,-1.5054347826086958,smooth-sn (blue)
7.106295149638803,-1.5054347826086958,smooth-sn (blue)
7.12280701754386,-1.5135869565217392,smooth-sn (blue)
7.139318885448916,-1.5135869565217392,smooth-sn (blue)
7.155830753353973,-1.5135869565217392,smooth-sn (blue)
7.17234262125903,-1.5135869565217392,smooth-sn (blue)
7.188854489164086,-1.5135869565217392,smooth-sn (blue)
