z,logMstar,logSFR,source
10,5.280811232449298,-2.7581967213114753,bursty-sn (red)
10,5.290171606864274,-2.745901639344262,bursty-sn (red)
10,5.299531981279252,-2.745901639344262,bursty-sn (red)
10,5.308892355694228,-2.7336065573770494,bursty-sn (red)
10,5.318252730109204,-2.721311475409836,bursty-sn (red)
10,5.327613104524181,-2.7090163934426226,bursty-sn (red)
10,5.336973478939157,-2.69672131147541,bursty-sn (red)
10,5.3463338533541345,-2.6844262295081966,bursty-sn (red)
10,5.355694227769111,-2.6721311475409832,bursty-sn (red)
10,5.365054602184087,-2.6598360655737707,bursty-sn (red)
10,5.374414976599064,-2.6475409836065573,bursty-sn (red)
10,5.383775351014041,-2.635245901639344,bursty-sn (red)
10,5.393135725429017,-2.6229508196721314,bursty-sn (red)
10,5.402496099843994,-2.610655737704918,bursty-sn (red)
10,5.41185647425897,-2.5983606557377046,bursty-sn (red)
10,5.4212168486739465,-2.586065573770492,bursty-sn (red)
10,5.430577223088924,-2.5737704918032787,bursty-sn (red)
10,5.4399375975039,-2.5737704918032787,bursty-sn (red)
10,5.505460218408737,-2.4631147540983607,bursty-sn (red)
10,5.514820592823713,-2.4508196721311473,bursty-sn (red)
10,5.5241809672386895,-2.4508196721311473,bursty-sn (red)
10,5.533541341653666,-2.4385245901639347,bursty-sn (red)
10,5.542901716068643,-2.4262295081967213,bursty-sn (red)
10,5.5522620904836195,-2.4262295081967213,bursty-sn (red)
10,5.561622464898596,-2.4262295081967213,bursty-sn (red)
10,5.570982839313572,-2.4016393442622954,bursty-sn (red)
10,5.580343213728549,-2.389344262295082,bursty-sn (red)
10,5.589703588143526,-2.389344262295082,bursty-sn (red)
10,5.599063962558502,-2.3770491803278686,bursty-sn (red)
10,5.608424336973479,-2.364754098360656,bursty-sn (red)
10,5.617784711388456,-2.364754098360656,bursty-sn (red)
10,5.627145085803432,-2.3524590163934427,bursty-sn (red)
10,5.636505460218409,-2.3401639344262293,bursty-sn (red)
10,5.645865834633385,-2.3401639344262293,bursty-sn (red)
10,5.655226209048362,-2.3401639344262293,bursty-sn (red)
10,5.664586583463339,-2.3155737704918034,bursty-sn (red)
10,5.673946957878315,-2.30327868852459,bursty-sn (red)
10,5.683307332293292,-2.30327868852459,bursty-sn (red)
10,5.692667706708268,-2.2909836065573774,bursty-sn (red)
10,5.702028081123245,-2.278688524590164,bursty-sn (red)
10,5.711388455538222,-2.278688524590164,bursty-sn (red)
10,5.720748829953198,-2.2663934426229506,bursty-sn (red)
10,5.7301092043681745,-2.254098360655738,bursty-sn (red)
10,5.739469578783151,-2.254098360655738,bursty-sn (red)
10,5.748829953198128,-2.254098360655738,bursty-sn (red)
10,5.758190327613105,-2.2295081967213113,bursty-sn (red)
10,5.767550702028081,-2.2295081967213113,bursty-sn (red)
